[3/30/22 12:26PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:26PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:26PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:26PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:26PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:26PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:31PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 12:32PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:08PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:10PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:10PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:10PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:11PM] Login from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
[3/30/22 07:15PM] Logout with password 123Logout from host 127.0.0.1, serial number: E8-F4-08-84-DE-87, mac address:K2103N008191020211125083625.000000-300	
